property_id,price

144422,51746.73466848646

88767,24285.328748478078

14673,9464.660720036427

34089,124870.60403787042

142708,20764.979813781523

89943,14489.139391362558

12405,25714.47186656573

153492,15637.185157576587

182304,35851.9502638757

152899,92769.61197903627

136628,25216.870993936856

149186,4966.914557148601

11192,20053.26293644689

40581,128353.69638957207

84968,119834.22669008505

50129,30779.452306441894

187417,14051.618138664671

84946,21067.76765154113

77266,8725.594683832718

61163,22105.93556031765

29453,20794.28128485055

188604,36317.72843696224

185923,55879.952374870685

154686,19937.599072830675

20845,199460.23098344184

34667,76241.17211883495

74248,64007.554653822066

109237,43912.402292967396

191108,12395.956737364413

110248,16658.89105602921

115126,12672.201781818727

14863,19478.96732840856

122944,9045.796553275668

59891,20418.797301532257

115942,5966.852203423681

113046,10926.234404983414

160168,25509.3630549245

64270,19574.483355528784

186811,22061.583925686275

163545,15391.707304900712

21843,30643.375862228186

63053,11357.663834720184

184028,21356.92088544937

129910,30221.920914219114

155764,41989.99265539093

188418,18684.69210211608

64831,18400.1590909133

3111,13879.553454660636

133868,36491.99068305506

160001,18764.357322581487

123729,8577.111038560695

71095,46381.739709700596

90615,15714.977986692978

72505,82926.96983420609

140105,186050.34252703644

76184,10424.868128535036

143592,30685.960853788165

61175,5434.950977309956

6045,108640.50096783854

36929,128105.59094261997

178717,170400.16752341986

141412,6565.436502904278

127750,12877.557743142268

60823,103791.79095959286

150103,19800.336796185835

155031,18574.98851232514

141331,21578.500843825266

3938,36026.34556836716

164277,12686.619769701556

45310,11133.575801148494

49024,21780.951391099006

161031,31248.99248103737

138473,9562.63421124922

84054,26432.920737362427

61665,18816.583278108887

191821,189493.343612773

115827,330699.895712018

161318,25615.049563450608

13032,15178.005324746453

178513,20681.425536984923

87118,14722.33230341963

62217,425517.42085871735

124959,19825.470567692395

178756,27834.460031605664

91328,2718.602840089021

55561,5206.85277964604

114460,22710.084019167243

185638,25410.959489083907

127248,15409.719267574179

118564,26730.719522206637

77043,5251.533720414227

190091,120368.77085655081

175030,5371.1494001470055

61782,50765.81600453215

115493,47688.88891159454

128161,4729.49905210111

20455,20405.090681768106

103571,151803.41947257146

7681,71378.47976313825

86725,34816.261397985974

179999,36222.52430780786

97859,5472.9203916271035

65673,7526.569629865968

146707,13244.50992573627

41007,77431.42467873842

55864,18220.420065555307

180079,341011.65525746706

190357,22422.007330140463

88006,90969.09913885573

135733,75154.44597278218

160062,18778.846353677905

29198,56335.90825499177

144343,8833.89136927819

16838,23941.17552249264

110573,58033.14921411289

46755,42798.908734115146

7901,56571.71779616106

101171,25065.883176949763

29373,36565.09912023385

97747,4056.103331630955

111731,8968.291050587526

86221,29973.168315702787

33123,36927.976097181134

57218,25932.45518541536

191231,9297.780592840929

154298,20424.64553972405

39254,8259.472670347302

73574,6424.670978109232

102489,29370.451860424582

138616,31222.31319916842

122252,22487.250627117108

92984,43730.532027354464

96162,16184.117901782283

158404,126743.20117318229

95463,29262.64404444949

118090,10011.222429521215

192025,19792.608851326193

183866,26613.5725051428

51748,24680.165370639326

147137,8430.56631640215

29640,11539.727974818019

108137,7701.137642769976

26888,10622.557863523158

47352,8185.527949571871

145326,166383.1766127619

152756,24356.428376984462

162354,9883.916106031862

118219,22935.67800544104

103119,31482.437045818348

4187,15752.16083138809

5045,26040.03031122071

135935,12539.908558811574

92755,71369.96973025895

114659,19386.942735712073

148867,15028.568463422635

138891,20721.072581009612

144162,19250.098766574472

1981,36759.02462683838

159888,19941.487103665277

83835,27875.167107163397

67241,75638.72307502142

147996,4236.412983341332

52502,9486.081988123908

178794,19359.27833775742

2204,124813.25764855655

126780,18131.693233956277

63253,7699.802826652238

188765,22544.124438891755

21325,13409.32433936384

26950,22484.07220169463

9331,64433.04227253095

70493,33516.88193882588

53489,4502.458704461678

45863,11463.915296050971

90974,41960.38802734194

156616,62778.823555290124

1925,25109.624865945763

127839,28814.68152721889

102235,18292.176793630082

105042,35167.073211204806

4683,49340.39701206327

41551,11372.73436326364

67031,21690.75750158485

93651,9821.136134218472

182968,22032.728347998614

29470,51682.38706385196

144373,5266.568348344514

74206,21879.642358598052

6815,10533.921553263688

129490,27240.892342332547

172735,4424.435526947444

10119,16023.574859765973

50414,27076.49328555198

155497,29814.52733672803

185541,79177.3222476419

31818,4655.419267797879

3887,15346.650509324503

173574,34997.47631886148

127129,19668.53800345806

138398,14386.017868493149

183940,26588.019670572416

173775,34666.16310426778

143800,27407.580179278735

27227,26245.546407629983

16133,28667.605820351542

62088,150962.39591130527

90795,19848.419988083333

56576,9799.64556864255

27712,3784.0476144192144

13222,29962.26114559766

84642,66752.78129749227

177925,15524.38172718728

162896,42423.905678924304

80865,26732.27526131735

137609,40958.69999268473

151718,15338.543077959454

165832,23861.124645332126

181173,63493.33443257549

23482,19402.92990844604

171364,14966.18708695898

41855,35423.33462610596

23612,21014.816344801806

92943,30785.512647800195

148505,15657.974835167064

97692,4195.863409248472

137294,10941.949786617883

166817,16944.548768463887

7736,12777.256111339579

79518,36325.36907057178

127546,21377.754862367543

98183,35950.66561890815

169262,22293.19637494198

132065,17745.70963414769

129297,36240.04262642886

4754,16762.913608158033

152034,44114.824900207655

61408,28871.62896933109

143100,11649.225293695166

77609,68268.44743072886

111398,16165.91156671501

103652,5981.101412482782

8054,65465.95865826076

144502,19200.750726076934

14524,16320.884171576716

61764,14939.488850466067

76979,13589.71732775608

178897,7841.3250982591235

125925,19350.884650905267

81810,7632.408552216089

146323,14679.968895813046

77365,23859.160237340908

165691,15693.718970072616

166014,26129.501673403996

170551,9879.848505336824

115990,20008.9341474938

36667,45136.8738258413

175054,18111.578607646148

159768,8532.36081472328

53850,30275.64674569208

149042,20880.345133822266

152070,10295.74249083185

57347,4938.870815009817

166224,5006.519099798588

53141,27130.240865425338

158801,312940.34836996853

180283,33290.72237609441

73264,27536.960061777187

132157,12317.681758903851

158766,21445.74410257999

55851,12981.681928929931

41645,81484.41256852733

41373,14665.620169532187

93218,17800.767532908267

111123,11693.39774599875

104124,17416.645785423796

76063,106842.71857881034

163217,8526.858005114696

1322,24141.355895213586

109309,5774.593307697505

157056,34477.60192090139

50176,23857.40904047063

5839,16596.03824009786

132662,21881.238923828183

143972,11392.00353419136

41954,5905.126281654026

49805,16027.711017151065

127280,10209.157967119605

156111,15767.558575743715

110763,241080.354104036

44006,13372.335512241661

48465,19497.374931820814

121377,24605.469473159945

39238,21924.049747275487

20615,27394.843330152864

179532,85907.02022980957

8184,30954.477589832724

126433,12893.116278188973

83709,15942.614263399046

165538,21810.260740788588

131874,11329.791856220138

46360,31619.287116356896

67268,35934.881096020945

163344,5731.2714254693165

122671,23613.004304879512

143385,35799.96285411104

179147,3756.1228610089747

56876,26449.222160899866

5302,37368.73390695468

94119,8282.46749288381

169667,3988.5580601843176

95642,4593.119780298395

50530,56472.26622143852

49691,23486.91476795267

24034,33715.01311028433

59817,28962.906298505302

164302,173219.0836343991

83398,7622.708605414475

62468,16627.654564141652

14818,26623.671054928232

96749,67925.42883748349

171441,21247.340300461387

82742,36953.114847039295

39264,18488.87590400009

34390,23407.008081604017

36102,78224.87292210701

149589,33845.15087451998

10285,28944.57621816471

93961,21844.311455244082

125742,24936.43338721746

49825,31771.497793542494

187894,30054.22606012141

75093,23016.65435659514

13974,13622.776845036962

105019,15596.654890102047

